Model_Original,Brand,Year_Extracted,Screen_Size_Extracted,Weight_kg,Energy_kWh_Year,Repair_Score,Eco_Score_Target
Latitude 5430 Rugged,Dell,2021.0,14.0,2.6,9.833333333333334,6.0,50.45
Latitude 5430 Rugged,Dell,2021.0,14.0,2.6,9.833333333333334,6.0,50.45
Latitude 5430,Dell,2021.0,14.0,1.36,9.833333333333334,6.0,55.97
Latitude 5431,Dell,2021.0,14.0,1.49,9.833333333333334,6.0,56.21
Latitude 5450,Dell,2021.0,14.0,1.812,9.833333333333334,6.0,60.290000000000006
Latitude 5450,Dell,2021.0,14.0,1.812,9.833333333333334,6.0,60.290000000000006
Latitude 5450,Dell,2021.0,14.0,1.812,9.833333333333334,6.0,60.290000000000006
Latitude 5450,Dell,2021.0,14.0,1.812,9.833333333333334,6.0,60.290000000000006
Latitude 5450,Dell,2021.0,14.0,1.812,9.833333333333334,6.0,60.290000000000006
Latitude 5450,Dell,2021.0,14.0,1.812,9.833333333333334,6.0,60.290000000000006
Latitude 5450,Dell,2021.0,14.0,1.812,9.833333333333334,6.0,60.290000000000006
Latitude 5450,Dell,2021.0,14.0,1.812,9.833333333333334,6.0,60.290000000000006
Latitude 5450,Dell,2021.0,14.0,1.812,9.833333333333334,6.0,60.290000000000006
Latitude 5450,Dell,2021.0,14.0,1.812,9.833333333333334,6.0,60.290000000000006
Latitude 5450,Dell,2021.0,14.0,1.812,9.833333333333334,6.0,60.290000000000006
Latitude 5450,Dell,2021.0,14.0,1.812,9.833333333333334,6.0,60.290000000000006
Latitude 5450,Dell,2021.0,14.0,1.812,9.833333333333334,6.0,60.290000000000006
Latitude 5450,Dell,2021.0,14.0,1.812,9.833333333333334,6.0,60.290000000000006
Latitude 5450,Dell,2021.0,14.0,1.812,9.833333333333334,6.0,60.290000000000006
Latitude 5450,Dell,2021.0,14.0,1.812,9.833333333333334,6.0,60.290000000000006
Latitude 5450,Dell,2021.0,14.0,1.812,9.833333333333334,6.0,60.290000000000006
Latitude 5450,Dell,2021.0,14.0,1.812,9.833333333333334,6.0,60.290000000000006
Latitude 5450,Dell,2021.0,14.0,1.812,9.833333333333334,6.0,60.290000000000006
Latitude 5450,Dell,2021.0,14.0,1.812,9.833333333333334,6.0,60.290000000000006
Latitude 5480,Dell,2021.0,14.0,1.86,9.833333333333334,6.0,60.05
Latitude 5490,Dell,2021.0,14.0,1.6,9.833333333333334,6.0,59.97
Latitude 5491,Dell,2021.0,14.0,1.65,9.833333333333334,6.0,59.730000000000004
Latitude 5495,Dell,2021.0,14.0,1.62,9.833333333333334,6.0,59.650000000000006
Latitude 5501,Dell,2021.0,14.0,1.88,9.833333333333334,6.0,47.81
Latitude 5510,Dell,2021.0,14.0,1.85,9.833333333333334,6.0,52.21000000000001
Latitude 5511,Dell,2021.0,14.0,1.89,9.833333333333334,6.0,49.81
Latitude 5520,Dell,2021.0,14.0,1.8256,9.833333333333334,6.0,54.13
Latitude 5521,Dell,2021.0,14.0,1.79,9.833333333333334,6.0,49.730000000000004
Latitude 5530,Dell,2021.0,14.0,1.78,9.833333333333334,6.0,50.93000000000001
Latitude 5531,Dell,2021.0,14.0,1.792,9.833333333333334,6.0,50.21000000000001
Latitude 5550,Dell,2021.0,14.0,2.144,9.833333333333334,6.0,59.33
Latitude 5550,Dell,2021.0,14.0,2.144,9.833333333333334,6.0,59.33
Latitude 5550,Dell,2021.0,14.0,2.144,9.833333333333334,6.0,59.33
