Device_Name,Energy_Consumption_kWh,Recycled_Percentage,RoHS_Compliant,Screen_Size_Inch,Weight_Kg,RAM_GB,Storage_GB,CPU_Score,Eco_Score
Acer Aspire Go 16 AG16-71P,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Aspire Go 16 AG16-71PT,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Aspire Go 16 AG16-71PT,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Chromebook 311 C723,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Chromebook 311 C723,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Chromebook 311 C723T,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Chromebook 311 C723T,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Chromebook 311 C723T,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Chromebook 314 C934,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Acer Chromebook 314 C934,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Acer Chromebook 314 C934,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Acer Chromebook 314 C934,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Acer Chromebook 314 C934T,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Acer Chromebook 314 C934T,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Acer Chromebook 314 C934T,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Acer Chromebook 314 C934T,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Acer Chromebook 314 C936,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Chromebook 314 C936,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Chromebook 314 C936T,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Acer Chromebook 314 C936T,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Chromebook 314 C936T,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Chromebook 314 CB314-3H,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Acer Chromebook 314 CB314-3H,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Acer Chromebook 314 CB314-3HT,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Acer Chromebook 314 CB314-3HT,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Acer Chromebook 314 CB314-3HT,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Acer Chromebook 314 CB314-4H,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Chromebook 314 CB314-4H,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Chromebook 314 CB314-4HT,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Chromebook 314 CB314-4HT,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Chromebook 314 CB314-4HT,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Chromebook 315 CB315-4H,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Acer Chromebook 315 CB315-4H,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Acer Chromebook 315 CB315-4H,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Acer Chromebook 315 CB315-4HT,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Acer Chromebook 315 CB315-4HT,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Acer Chromebook 315 CB315-4HT,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Acer Chromebook 315 CB315-6H,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Chromebook 315 CB315-6H,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Chromebook 315 CB315-6HT,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Chromebook 315 CB315-6HT,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Chromebook 315 CB315-6H-TCO,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Acer Chromebook 315 CB315-7H,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Chromebook 315 CB315-7H,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Chromebook 315 CB315-7HT,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Chromebook 315 CB315-7HT,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Chromebook 511 C736,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Chromebook 511 C736,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Chromebook 511 C736,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Chromebook 511 C736,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Chromebook 511 C736L,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Chromebook 511 C736L,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Chromebook 511 C736LT,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Chromebook 511 C736LT,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Chromebook 511 C736T,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Chromebook 511 C736T,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Chromebook 511 C736T,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Chromebook 511 C736T,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Chromebook 511 C737,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Chromebook 511 C737,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Chromebook 511 C737T,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Chromebook 511 C737T,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Chromebook 514 C937,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Chromebook 514 C937,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Chromebook 514 C937T,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Chromebook 514 C937T,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Chromebook 514 C937-TCO,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Chromebook 514 CB514-3H,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Acer Chromebook 514 CB514-3H,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Acer Chromebook 514 CB514-3H,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Acer Chromebook 514 CB514-3H,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Acer Chromebook 514 CB514-3HT,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Acer Chromebook 514 CB514-3HT,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Acer Chromebook 514 CB514-3HT,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Acer Chromebook 515 CB515-2H,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Acer Chromebook 515 CB515-2H,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Acer Chromebook 515 CB515-2H,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Acer Chromebook 515 CB515-2H,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Acer Chromebook 515 CB515-2HT,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Acer Chromebook 515 CB515-2HT,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Acer Chromebook Plus 514 CB514-4H,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Chromebook Plus 514 CB514-4H,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
